Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 21:05:59,2021-06-15 21:06:00,0.982s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 21:06:00,2021-06-15 21:06:00,0.530s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:06:00,2021-06-15 21:06:00,0.003s,PASSED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Test Case,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 21:06:01,2021-06-15 21:06:11,9.983s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:06:01,2021-06-15 21:06:01,0.001s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 21:06:01,2021-06-15 21:06:06,5.759s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 21:06:06,2021-06-15 21:06:07,1.103s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 21:06:07,2021-06-15 21:06:08,0.852s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 21:06:08,2021-06-15 21:06:09,0.697s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 21:06:09,2021-06-15 21:06:10,0.673s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 21:06:10,2021-06-15 21:06:10,0.876s,FAILED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:06:11,2021-06-15 21:06:11,0.001s,PASSED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Test Case,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 21:06:11,2021-06-15 21:06:19,8.620s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:06:11,2021-06-15 21:06:11,0.001s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 21:06:11,2021-06-15 21:06:15,4.202s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 21:06:15,2021-06-15 21:06:16,1.332s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 21:06:16,2021-06-15 21:06:17,0.847s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 21:06:17,2021-06-15 21:06:18,0.754s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 21:06:18,2021-06-15 21:06:18,0.688s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 21:06:18,2021-06-15 21:06:19,0.776s,FAILED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:06:19,2021-06-15 21:06:19,0.002s,PASSED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Test Case,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 21:06:19,2021-06-15 21:06:28,8.355s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:06:19,2021-06-15 21:06:19,0.001s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 21:06:19,2021-06-15 21:06:23,4.260s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 21:06:23,2021-06-15 21:06:24,1.015s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 21:06:24,2021-06-15 21:06:25,0.965s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 21:06:25,2021-06-15 21:06:26,0.818s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 21:06:26,2021-06-15 21:06:27,0.753s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 21:06:27,2021-06-15 21:06:28,0.531s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:06:28,2021-06-15 21:06:28,0.001s,PASSED
